#   X	          Y	         Z	   Intensity
-0.39473000	-1.02210999	0.93974298	0.319951
-0.39363101	-1.01927197	0.93952900	0.316533
-0.39253199	-1.01643395	0.93931597	0.317510
-0.39143401	-1.01362598	0.93910199	0.315801
-0.39036599	-1.01078796	0.93885797	0.317510
-0.38938901	-1.00831604	0.93891901	0.318730
-0.38838199	-1.00569201	0.93885797	0.320928
-0.38728300	-1.00285304	0.93858302	0.320928
-0.38639799	-1.00056505	0.93882799	0.326055
-0.38545200	-0.99809301	0.93888903	0.334112
-0.38429299	-0.99510199	0.93843102	0.342901
-0.41615301	-1.07347095	0.94560200	0.406622
-0.41523701	-1.07115197	0.94593799	0.386603
-0.41407800	-1.06809998	0.94569403	0.371466
-0.41282699	-1.06489599	0.94526702	0.362676
-0.41172799	-1.06202698	0.94511402	0.357305
-0.41059899	-1.05918896	0.94499201	0.354376
-0.40950000	-1.05631995	0.94487000	0.347295
-0.40818799	-1.05296302	0.94426000	0.342901
-0.40687600	-1.04957604	0.94361901	0.342412
-0.40571600	-1.04655504	0.94331402	0.339483
-0.40461701	-1.04371595	0.94313002	0.336797
-0.40348801	-1.04084802	0.94297802	0.330205
-0.40232801	-1.03782701	0.94264197	0.326299
-0.40092501	-1.03413403	0.94166601	0.322393
-0.39976501	-1.03111303	0.94133002	0.320684
-0.39860499	-1.02812195	0.94096398	0.321660
-0.39741501	-1.02510095	0.94059801	0.321172
-0.39634699	-1.02226305	0.94038397	0.318730
-0.39524800	-1.01945496	0.94016999	0.317754
-0.39421099	-1.01680005	0.94010901	0.320928
-0.39305100	-1.01377904	0.93971300	0.317510
-0.39189100	-1.01078796	0.93934602	0.314092
-0.39073199	-1.00779700	0.93891901	0.317021
-0.38969401	-1.00517297	0.93885797	0.324346
-0.38853499	-1.00218201	0.93843102	0.326787
-0.38758901	-0.99971002	0.93849200	0.328496
-0.38655099	-0.99705499	0.93839997	0.331426
-0.38566601	-0.99476600	0.93861401	0.334844
-0.41908300	-1.07713306	0.94441199	0.414191
-0.41789201	-1.07408094	0.94413799	0.398566
-0.41697699	-1.07176197	0.94450402	0.380011
-0.41600001	-1.06922901	0.94471699	0.364385
-0.41496301	-1.06654406	0.94474798	0.352911
-0.41386399	-1.06367505	0.94462597	0.345342
-0.41261300	-1.06047106	0.94419903	0.342901
-0.41142300	-1.05744898	0.94389302	0.338994
-0.41020200	-1.05424500	0.94346601	0.336797
-0.40895101	-1.05104101	0.94297802	0.332891
-0.40770000	-1.04786694	0.94252002	0.331914
-0.40644801	-1.04466200	0.94206202	0.328984
-0.40541101	-1.04197705	0.94203198	0.324102
-0.40409899	-1.03862000	0.94139099	0.321904
-0.40266401	-1.03492701	0.94044501	0.318975
-0.40135199	-1.03156996	0.93977398	0.318975
-0.40019199	-1.02854896	0.93940699	0.322881
-0.39909399	-1.02574205	0.93922400	0.322881
-0.39799500	-1.02290297	0.93901098	0.320439
-0.39680499	-1.01991296	0.93864399	0.314824
-0.39576700	-1.01725805	0.93858302	0.314580
-0.39482099	-1.01475501	0.93867499	0.312383
-0.39387500	-1.01228297	0.93876600	0.310185
-0.39283800	-1.00962806	0.93870503	0.311162
-0.39173901	-1.00682104	0.93846101	0.314580
-0.39063999	-1.00401294	0.93821698	0.320195
-0.38960299	-1.00135803	0.93812603	0.320195
-0.38850400	-0.99855000	0.93785101	0.322637
-0.38749701	-0.99592602	0.93775898	0.328984
-0.38661200	-0.99363703	0.93797302	0.336553
-0.42091399	-1.07783496	0.94547999	0.405402
-0.41984600	-1.07515001	0.94554102	0.388312
-0.41874701	-1.07228100	0.94545001	0.378546
-0.41755700	-1.06922901	0.94517499	0.365362
-0.41651899	-1.06654406	0.94520599	0.351934
-0.41532901	-1.06352198	0.94493097	0.340459
-0.41429099	-1.06083703	0.94496202	0.338018
-0.41310099	-1.05781603	0.94468701	0.335088
-0.41191101	-1.05479395	0.94438201	0.337285
-0.41053799	-1.05122399	0.94361901	0.338506
-0.40913400	-1.04768395	0.94282502	0.338994
-0.40788299	-1.04451001	0.94236797	0.332891
-0.40672299	-1.04148901	0.94203198	0.326787
-0.40553299	-1.03846705	0.94172698	0.325811
-0.40428200	-1.03529406	0.94120800	0.322393
-0.40306100	-1.03208899	0.94072002	0.322881
-0.40180999	-1.02891505	0.94020098	0.323613
-0.40064999	-1.02592504	0.93986499	0.324590
-0.39955100	-1.02308702	0.93965101	0.321172
-0.39857501	-1.02061498	0.93974298	0.317754
-0.39732400	-1.01744103	0.93922400	0.314336
-0.39616400	-1.01444995	0.93882799	0.312383
-0.39512599	-1.01179504	0.93876600	0.308476
-0.39408901	-1.00914001	0.93870503	0.310674
-0.39286801	-1.00599694	0.93812603	0.315801
-0.39183000	-1.00334203	0.93803400	0.322148
-0.39079300	-1.00071704	0.93794298	0.320928
-0.38984701	-0.99824500	0.93800402	0.320928
-0.38874799	-0.99543798	0.93775898	0.323857
-0.38771099	-0.99278301	0.93763697	0.333135
-0.38682601	-0.99049401	0.93785101	0.341192
-0.42366001	-1.08088696	0.94618201	0.425910
-0.42262301	-1.07817101	0.94624299	0.401740
-0.42149401	-1.07530200	0.94615197	0.382208
-0.42036399	-1.07246399	0.94606000	0.368292
-0.41917399	-1.06941199	0.94578600	0.361700
-0.41798401	-1.06639099	0.94554102	0.351934
-0.41694599	-1.06370497	0.94557202	0.343145
-0.41575599	-1.06065404	0.94529700	0.336065
-0.41456601	-1.05763197	0.94499201	0.335576
-0.41337600	-1.05461097	0.94471699	0.334112
-0.41212499	-1.05140698	0.94426000	0.331914
-0.41072100	-1.04786694	0.94346601	0.331914
-0.40946999	-1.04469299	0.94300801	0.328496
-0.40815699	-1.04130602	0.94236797	0.324102
-0.40690601	-1.03813195	0.94187897	0.323369
-0.40574601	-1.03511000	0.94154400	0.320195
-0.40455601	-1.03211999	0.94120800	0.318486
-0.40345800	-1.02928197	0.94099402	0.319463
-0.40235901	-1.02644300	0.94081098	0.325078
-0.40123001	-1.02360499	0.94059801	0.322637
-0.40013099	-1.02079797	0.94038397	0.317754
-0.39888000	-1.01762402	0.93986499	0.313603
-0.39772001	-1.01463306	0.93946803	0.312383
-0.39659101	-1.01182604	0.93925500	0.308965
-0.39567599	-1.00932300	0.93934602	0.308965
-0.39457700	-1.00651598	0.93910199	0.312871
-0.39344800	-1.00370800	0.93885797	0.318486
-0.39234900	-1.00090003	0.93858302	0.318486
-0.39131200	-0.99824500	0.93849200	0.320928
-0.39030501	-0.99562103	0.93839997	0.323857
-0.38926700	-0.99299598	0.93827802	0.327764
-0.38822901	-0.99034101	0.93815601	0.338262
-0.42567399	-1.08198500	0.94517499	0.416876
-0.42448401	-1.07893395	0.94496202	0.394659
-0.42341599	-1.07624805	0.94502300	0.376349
-0.42234799	-1.07356298	0.94508398	0.361944
-0.42131001	-1.07087696	0.94511402	0.354131
-0.42012000	-1.06782496	0.94487000	0.347539
-0.41877699	-1.06443799	0.94428998	0.342168
-0.41764799	-1.06159997	0.94416797	0.335576
-0.41645801	-1.05857801	0.94389302	0.334112
-0.41542101	-1.05589294	0.94389302	0.331426
-0.41422999	-1.05287194	0.94361901	0.329229
-0.41294900	-1.04966700	0.94316101	0.328008
-0.41163599	-1.04630995	0.94252002	0.328984
-0.41032401	-1.04295301	0.94191003	0.324590
-0.40901199	-1.03959703	0.94126898	0.318975
-0.40776101	-1.03639197	0.94078100	0.316777
-0.40656999	-1.03340101	0.94044501	0.312871
-0.40544099	-1.03056300	0.94023103	0.311650
-0.40428200	-1.02757299	0.93989599	0.312871
-0.40315199	-1.02473402	0.93968201	0.317021
-0.40196201	-1.02174401	0.93934602	0.316533
-0.40092501	-1.01908898	0.93928498	0.314336
-0.39976501	-1.01609802	0.93888903	0.309697
-0.39857501	-1.01310694	0.93852198	0.312383
-0.39753699	-1.01045203	0.93846101	0.310674
-0.39634699	-1.00746202	0.93806499	0.307256
-0.39540100	-1.00498998	0.93812603	0.306035
-0.39442399	-1.00251806	0.93821698	0.312139
-0.39332601	-0.99971002	0.93794298	0.317510
-0.39222699	-0.99690199	0.93769801	0.322637
-0.39118999	-0.99427801	0.93757600	0.327276
-0.39006001	-0.99146998	0.93730199	0.335332
-0.38902301	-0.98884600	0.93721002	0.343633
-0.42808500	-1.08412194	0.94511402	0.436164
-0.42717001	-1.08180201	0.94551098	0.412970
-0.42616299	-1.07926905	0.94572401	0.388800
-0.42518601	-1.07676697	0.94593799	0.370977
-0.42393500	-1.07353199	0.94554102	0.359747
-0.42271399	-1.07051098	0.94529700	0.354620
-0.42152399	-1.06748998	0.94502300	0.347539
-0.42033401	-1.06443799	0.94474798	0.340948
-0.41920501	-1.06159997	0.94462597	0.335088
-0.41807601	-1.05873096	0.94450402	0.334112
-0.41700700	-1.05607605	0.94453400	0.332891
-0.41575599	-1.05287194	0.94407701	0.333623
-0.41450500	-1.04966700	0.94361901	0.330694
-0.41316199	-1.04630995	0.94300801	0.331182
-0.41181901	-1.04295301	0.94236797	0.326787
-0.41050699	-1.03959703	0.94172698	0.320195
-0.40919501	-1.03623998	0.94108599	0.316289
-0.40785199	-1.03288305	0.94044501	0.312139
-0.40681499	-1.03022802	0.94041401	0.311650
-0.40562400	-1.02723706	0.94004798	0.313848
-0.40443400	-1.02421606	0.93968201	0.319951
-0.40339699	-1.02156103	0.93965101	0.320439
-0.40235901	-1.01893604	0.93958998	0.317021
